Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2012-05-08,BRITANNIA,EQ,550.4,557.75,557.75,540,540.5,541.65,549.79,10985,603944510000,1529,2331,0.2122
2012-05-09,BRITANNIA,EQ,541.65,540.5,548,530.1,536,533.25,537.57,9943,534507540000,1146,4732,0.4759
2012-05-10,BRITANNIA,EQ,533.25,539,559,532.4,558,553.65,545.44,16439,896654400000,1382,9028,0.5492
2012-05-11,BRITANNIA,EQ,553.65,559,563,535.9,537.5,538.6,539.98,311525,16821773835000,2304,298047,0.9567
2012-05-14,BRITANNIA,EQ,538.6,538,544.9,531.65,535,535.8,538.5,8082,435214475000,673,3314,0.41
2012-05-15,BRITANNIA,EQ,535.8,535.3,538,530,530.1,530.5,533.8,18120,967249745000,1146,12542,0.6922
2012-05-16,BRITANNIA,EQ,530.5,530,533.95,522.35,525,523.95,524.54,77983,4090511520000,544,4683,0.0601
2012-05-17,BRITANNIA,EQ,523.95,526.9,527.45,518,518.5,521.2,522.34,26940,1407185230000,1950,17732,0.6582
2012-05-18,BRITANNIA,EQ,521.2,521.4,536,506.5,526.1,527.2,521.88,27392,1429544055000,1820,13496,0.4927
2012-05-21,BRITANNIA,EQ,527.2,527.95,533.65,525,529,528.45,529.1,5193,274760400000,393,2171,0.4181
2012-05-22,BRITANNIA,EQ,528.45,528,538.85,528,530.1,531.15,533.01,3376,179944035000,386,1315,0.3895
2012-05-23,BRITANNIA,EQ,531.15,541.9,541.9,525.25,535,531.35,529.52,15322,811329865000,1352,11242,0.7337
2012-05-24,BRITANNIA,EQ,531.35,530,531.5,520.3,526,525.6,525.08,17430,915208810000,1471,13276,0.7617
2012-05-25,BRITANNIA,EQ,525.6,529,537.85,519.95,527,528.75,529.16,11109,587849355000,525,8588,0.7731
2012-05-28,BRITANNIA,EQ,528.75,534.9,544.25,533.05,536,537.45,539.15,24651,1329056110000,1366,10561,0.4284
2012-05-29,BRITANNIA,EQ,537.45,540,544.95,522,522,526.95,531.66,65571,3486131855000,2780,42810,0.6529
2012-05-30,BRITANNIA,EQ,526.95,513.75,526.95,513.75,514.9,518.1,518.88,489087,25377916250000,1906,479722,0.9809
2012-05-31,BRITANNIA,EQ,518.1,514.95,540,513.95,537,534.65,520.51,285292,14849674745000,2441,265495,0.9306
2012-06-01,BRITANNIA,EQ,534.65,535,535,523.1,524.15,526.2,530.32,7807,414020135000,685,3381,0.4331
2012-06-04,BRITANNIA,EQ,526.2,530,530,511.7,518,516.95,519.41,7875,409032765000,700,3578,0.4543
2012-06-05,BRITANNIA,EQ,516.95,518,526,501.15,518.05,518.75,519.76,6770,351877940000,693,3831,0.5659
2012-06-06,BRITANNIA,EQ,518.75,525,531.6,522,523.7,524.5,525.42,22831,1199577225000,1683,13669,0.5987
2012-06-07,BRITANNIA,EQ,524.5,528.5,528.5,520.1,521.1,523.65,525.46,25827,1357112680000,2033,18611,0.7206
2012-06-08,BRITANNIA,EQ,523.65,527.15,529,520,521,521.55,523.06,22556,1179808890000,2140,12978,0.5754
2012-06-11,BRITANNIA,EQ,521.55,527.8,527.8,519,520,519.85,522.24,13755,718346975000,1477,7437,0.5407
2012-06-12,BRITANNIA,EQ,519.85,520,522,511.5,517.6,518.5,516.93,24109,1246275595000,2585,16600,0.6885
2012-06-13,BRITANNIA,EQ,518.5,515,540,515,538.95,539.3,533.73,96466,5148633330000,3185,62440,0.6473
2012-06-14,BRITANNIA,EQ,539.3,536,547.9,525,527.2,527.65,539.21,49932,2692385620000,2593,18961,0.3797
2012-06-15,BRITANNIA,EQ,527.65,523.65,532.4,520.2,527,525.4,525.22,30386,1595928500000,1253,19131,0.6296
2012-06-18,BRITANNIA,EQ,525.4,525,533.9,513,517,517.55,521.68,16217,846013490000,1940,8504,0.5244
2012-06-19,BRITANNIA,EQ,517.55,524,524,513,520.25,520.65,518.29,18971,983244405000,1141,9947,0.5243
2012-06-20,BRITANNIA,EQ,520.65,526,530,520,523,522.75,525.29,22707,1192771495000,1274,12529,0.5518
2012-06-21,BRITANNIA,EQ,522.75,522.05,529.25,520,521.75,522.1,524.66,39305,2062173620000,3593,27365,0.6962
2012-06-22,BRITANNIA,EQ,522.1,520.5,526,520,524,522.85,523.41,9000,471067675000,718,5272,0.5858
2012-06-25,BRITANNIA,EQ,522.85,494.95,534,494.95,527.1,527.95,527.97,158407,8363392980000,3218,11173,0.0705
2012-06-26,BRITANNIA,EQ,527.95,530,531,520,523.4,521.85,523.8,16046,840492855000,1488,8579,0.5347
2012-06-27,BRITANNIA,EQ,521.85,520.55,528,520.3,521.3,522.85,523.6,7053,369294550000,629,4524,0.6414
2012-06-28,BRITANNIA,EQ,522.85,521.5,526.45,520.9,521.95,524.8,524.14,11616,608846485000,931,7745,0.6668
2012-06-29,BRITANNIA,EQ,524.8,526,530,522.8,525,525.35,525.57,19778,1039470495000,1325,13631,0.6892
2012-07-02,BRITANNIA,EQ,525.35,517,552.15,517,540,538.6,536.68,159636,8567417025000,5946,102723,0.6435
2012-07-03,BRITANNIA,EQ,538.6,536.1,544.65,532.6,537,537.2,539.53,28795,1553585630000,1093,19120,0.664
2012-07-04,BRITANNIA,EQ,537.2,537.2,541.95,535.5,538.15,538.1,538.72,15963,859966270000,741,11161,0.6992
2012-07-05,BRITANNIA,EQ,538.1,542,542,530.55,533.8,534.8,536.64,41652,2235222540000,612,37798,0.9075
2012-07-06,BRITANNIA,EQ,534.8,532.05,538.95,526.25,529.65,533.8,533.15,73977,3944049705000,1562,66405,0.8976
2012-07-09,BRITANNIA,EQ,533.8,531.65,532.15,516.5,517,520.55,523.66,20142,1054756385000,1661,14658,0.7277
2012-07-10,BRITANNIA,EQ,520.55,526,528.3,521.25,525.1,525.8,525.43,16029,842209315000,946,11399,0.7111
2012-07-11,BRITANNIA,EQ,525.8,526.05,528,520.45,523,522.4,524.88,87730,4604795785000,1294,83061,0.9468
2012-07-12,BRITANNIA,EQ,522.4,522,523.85,516,522,522,521.82,18407,960519815000,1058,14184,0.7706
2012-07-13,BRITANNIA,EQ,522,527,530,522,522,524.85,526.26,18672,982641205000,1705,11684,0.6257
2012-07-16,BRITANNIA,EQ,524.85,527.9,527.9,513.5,515,514.95,516.55,74262,3835992970000,5112,65429,0.8811
2012-07-17,BRITANNIA,EQ,514.95,513.5,516.55,508,513,513.9,512.76,34534,1770757780000,4383,21958,0.6358
2012-07-18,BRITANNIA,EQ,513.9,514,515.05,505,510.85,511.2,510.11,17317,883361270000,1628,11515,0.665
2012-07-19,BRITANNIA,EQ,511.2,515,515,495.95,498,499.9,502.98,239492,12046061495000,3372,223688,0.934
2012-07-20,BRITANNIA,EQ,499.9,501.8,502.9,495,499.6,497.7,499.83,42774,2137956205000,1066,35475,0.8294
2012-07-23,BRITANNIA,EQ,497.7,499.95,500,492.05,494.55,496.05,496.41,25629,1272240665000,2496,17807,0.6948
2012-07-24,BRITANNIA,EQ,496.05,494.15,497.95,481.55,492.2,491.65,489.13,61002,2983765175000,4169,42311,0.6936
2012-07-25,BRITANNIA,EQ,491.65,491.15,513.7,477.1,477.1,480.55,486,68212,3315106325000,2036,51606,0.7566
2012-07-26,BRITANNIA,EQ,480.55,484.2,485,472.15,473,475.45,479.5,180333,8647026390000,2655,172961,0.9591
2012-07-27,BRITANNIA,EQ,475.45,477,484.25,468.05,469.05,471.15,475.89,34071,1621394515000,2127,26514,0.7782
2012-07-30,BRITANNIA,EQ,471.15,475.9,476.45,465.55,466.75,468.15,471,34882,1642946685000,2752,24889,0.7135
2012-07-31,BRITANNIA,EQ,468.15,482,482,462.05,463.95,464.65,466.33,53305,2485766730000,3013,42919,0.8052
2012-08-01,BRITANNIA,EQ,464.65,468.9,468.9,461,464,463.2,465.2,54299,2525964795000,3396,43492,0.801
2012-08-02,BRITANNIA,EQ,463.2,466.9,478.75,463.1,463.8,466.5,471.51,210205,9911327545000,6444,146071,0.6949
2012-08-03,BRITANNIA,EQ,466.5,380,474.5,380,474,473.15,468.84,168582,7903744060000,5020,123922,0.7351
2012-08-06,BRITANNIA,EQ,473.15,475.05,482,458.1,459.9,460.7,469.56,302273,14193636350000,10357,91436,0.3025
2012-08-07,BRITANNIA,EQ,460.7,460.7,465.55,451,454.1,453.1,460.19,86825,3995631975000,3270,54883,0.6321
2012-08-08,BRITANNIA,EQ,453.1,453.25,463.7,451.7,453.95,453.2,457.24,63992,2925974450000,4391,33938,0.5303
2012-08-09,BRITANNIA,EQ,453.2,453,459.65,452.95,455.2,454.8,457.18,29433,1345630515000,1698,16237,0.5517
2012-08-10,BRITANNIA,EQ,454.8,451.5,458,449.75,451.9,452.25,452.42,28764,1301352975000,1385,20719,0.7203
2012-08-13,BRITANNIA,EQ,452.25,455,468.85,454,456,456.6,457.26,30876,1411827740000,1482,17150,0.5554
2012-08-14,BRITANNIA,EQ,456.6,456.9,467.45,456.85,465.75,465.15,460.65,75853,3494151200000,2493,62309,0.8214
2012-08-16,BRITANNIA,EQ,465.15,465.8,472,463.95,467,467.85,467.74,61355,2869847260000,1777,50463,0.8225
2012-08-17,BRITANNIA,EQ,467.85,469.95,475.4,465,470,469.95,469.09,90448,4242841470000,2034,68947,0.7623
2012-08-21,BRITANNIA,EQ,469.95,474.85,475,470.05,474,473.75,472.95,143575,6790429355000,2839,134394,0.9361
2012-08-22,BRITANNIA,EQ,473.75,473,477.35,468,477,474.15,473.86,76630,3631196805000,1489,69274,0.904
2012-08-23,BRITANNIA,EQ,474.15,474.15,479.65,474.15,478.3,478.4,477.72,31830,1520585540000,1313,24068,0.7561
2012-08-24,BRITANNIA,EQ,478.4,486.4,498,480,482.15,484.85,485.32,194293,9429366735000,5360,146997,0.7566
2012-08-27,BRITANNIA,EQ,484.85,485.1,493.7,482.05,489.5,489.55,489.01,46474,2272614045000,2430,34815,0.7491
2012-08-28,BRITANNIA,EQ,489.55,490.05,493.1,485.1,489.35,488.45,487.48,25862,1260719445000,1781,17699,0.6844
